Year,Rank,Bank,Fintech_Index_Score
2025,1,Central Bank of India Ltd,0.181785
2025,2,State Bank of India,0.151851
2025,3,Axis Bank Ltd,0.089638
2025,4,Kotak Mahindra Bank Ltd,0.074257
2025,5,United Overseas Bank Ltd,0.066536
2025,6,HDFC Bank Ltd,0.058293
2025,7,IDFC First Bank Ltd,0.052099
2025,8,Bank of Baroda Ltd,0.051413
2025,9,DBS Group Holdings Ltd,0.033519
2025,10,IDBI Bank Ltd,0.03264
2025,11,Canara Bank Ltd,0.026743
2025,12,Federal Bank Ltd,0.019165
2025,13,Jammu and Kashmir Bank Ltd,0.018938
2025,14,Yes Bank Ltd,0.018631
2025,15,South Indian Bank Ltd,0.015704
2025,16,Oversea-Chinese Banking Corporation Ltd,0.012564
2025,17,Karur Vysya Bank Ltd,0.009217
2025,18,Indusind Bank Ltd,0.008876
2025,19,AU Small Finance Bank Ltd,0.008134
2025,20,Punjab National Bank,0.008127
2025,21,UCO Bank,0.006146
2025,22,Bandhan Bank Ltd,0.006145
2025,23,China Everbright Bank Co Ltd,0.004847
2025,24,Bank of Chongqing Co Ltd,0.004538
2025,25,Agricultural Bank of China Ltd,0.004194
2025,26,Bank of China Ltd,0.003828
2025,27,Bank of India Ltd,0.003443
2025,28,City Union Bank Ltd,0.003439
2025,29,Capital Small Finance Bank Ltd,0.003023
2025,30,Indian Bank,0.002774
2025,31,China Citic Bank Corp Ltd,0.00265
2025,32,ICICI Bank Ltd,0.002644
2025,33,Indian Overseas Bank,0.001703
2025,34,China Bohai Bank Co Ltd,0.001532
2025,35,Hua Xia Bank Co Ltd,0.001522
2025,36,Bank of Communications Co Ltd,0.001508
2025,37,DCB Bank Ltd,0.001359
2025,38,Suryoday Small Finance Bank Ltd,0.001315
2025,39,CSB Bank Ltd,0.001164
2025,40,Bank of Qingdao Co Ltd,0.001135
2025,41,Shanghai Rural Commercial Bank Co Ltd,0.001032
2025,42,Bank of Ningbo Co Ltd,0.000646
2025,43,Shanghai Pudong Development Bank Co Ltd,0.000556
2025,44,Tamilnad Mercantile Bank Ltd,0.000546
2025,45,Industrial Bank Co Ltd,0.00017
2025,46,Bank of Jiangsu Co Ltd,1.5e-05
2025,47,Ping An Bank Co Ltd,0.0
2025,48,China Merchants Bank Co Ltd,0.0
2025,49,China Construction Bank Corp,0.0
2025,50,Bank of Shanghai Co Ltd,0.0
2024,1,State Bank of India,0.19518
2024,2,Axis Bank Ltd,0.173828
2024,3,Central Bank of India Ltd,0.167445
2024,4,Kotak Mahindra Bank Ltd,0.112299
2024,5,Bank of Baroda Ltd,0.050245
2024,6,Indusind Bank Ltd,0.047382
2024,7,Yes Bank Ltd,0.033548
2024,8,IDFC First Bank Ltd,0.024594
2024,9,HDFC Bank Ltd,0.024466
2024,10,AU Small Finance Bank Ltd,0.019368
2024,11,Oversea-Chinese Banking Corporation Ltd,0.017247
2024,12,DBS Group Holdings Ltd,0.017082
2024,13,Federal Bank Ltd,0.008967
2024,14,South Indian Bank Ltd,0.007407
2024,15,Punjab National Bank,0.007132
2024,16,United Overseas Bank Ltd,0.006573
2024,17,Shanghai Pudong Development Bank Co Ltd,0.005134
2024,18,UCO Bank,0.005026
2024,19,Bank of India Ltd,0.004944
2024,20,China Citic Bank Corp Ltd,0.004402
2024,21,Shanghai Rural Commercial Bank Co Ltd,0.004281
2024,22,Bank of China Ltd,0.004261
2024,23,Industrial Bank Co Ltd,0.004186
2024,24,Jammu and Kashmir Bank Ltd,0.004108
2024,25,City Union Bank Ltd,0.003732
2024,26,Karur Vysya Bank Ltd,0.003526
2024,27,Bandhan Bank Ltd,0.003267
2024,28,Ping An Bank Co Ltd,0.003166
2024,29,ICICI Bank Ltd,0.002755
2024,30,Bank of Communications Co Ltd,0.002554
2024,31,Bank of Shanghai Co Ltd,0.00253
2024,32,IDBI Bank Ltd,0.002406
2024,33,Capital Small Finance Bank Ltd,0.002379
2024,34,Hua Xia Bank Co Ltd,0.002366
2024,35,China Construction Bank Corp,0.002324
2024,36,China Everbright Bank Co Ltd,0.0022
2024,37,China Merchants Bank Co Ltd,0.002064
2024,38,Bank of Jiangsu Co Ltd,0.001633
2024,39,Bank of Ningbo Co Ltd,0.001526
2024,40,Agricultural Bank of China Ltd,0.001517
2024,41,Indian Bank,0.001516
2024,42,Bank of Chongqing Co Ltd,0.001486
2024,43,DCB Bank Ltd,0.001359
2024,44,Indian Overseas Bank,0.001286
2024,45,China Bohai Bank Co Ltd,0.001261
2024,46,Canara Bank Ltd,0.00123
2024,47,CSB Bank Ltd,0.001136
2024,48,Suryoday Small Finance Bank Ltd,0.001068
2024,49,Bank of Qingdao Co Ltd,0.000357
2024,50,Tamilnad Mercantile Bank Ltd,0.000249
