Year,Bank,KeywordIndex,TotalResults
2024,Oversea-Chinese Banking Corporation Ltd,Kw1,2
2024,Oversea-Chinese Banking Corporation Ltd,Kw2,0
2024,Oversea-Chinese Banking Corporation Ltd,Kw3,5
2024,Oversea-Chinese Banking Corporation Ltd,Kw4,0
2024,Oversea-Chinese Banking Corporation Ltd,Kw5,5
2024,Oversea-Chinese Banking Corporation Ltd,Kw6,134
2024,Oversea-Chinese Banking Corporation Ltd,Kw7,2
2024,Oversea-Chinese Banking Corporation Ltd,Kw8,0
2024,Oversea-Chinese Banking Corporation Ltd,Kw9,6
2024,Oversea-Chinese Banking Corporation Ltd,Kw10,0
2024,Oversea-Chinese Banking Corporation Ltd,Kw11,0
2024,Oversea-Chinese Banking Corporation Ltd,Kw12,0
2024,Oversea-Chinese Banking Corporation Ltd,Kw13,2
2023,Oversea-Chinese Banking Corporation Ltd,Kw1,3
2023,Oversea-Chinese Banking Corporation Ltd,Kw2,0
2023,Oversea-Chinese Banking Corporation Ltd,Kw3,4
2023,Oversea-Chinese Banking Corporation Ltd,Kw4,1
2023,Oversea-Chinese Banking Corporation Ltd,Kw5,2
2023,Oversea-Chinese Banking Corporation Ltd,Kw6,133
2023,Oversea-Chinese Banking Corporation Ltd,Kw7,0
2023,Oversea-Chinese Banking Corporation Ltd,Kw8,0
2023,Oversea-Chinese Banking Corporation Ltd,Kw9,3
2023,Oversea-Chinese Banking Corporation Ltd,Kw10,0
2023,Oversea-Chinese Banking Corporation Ltd,Kw11,0
2023,Oversea-Chinese Banking Corporation Ltd,Kw12,0
2023,Oversea-Chinese Banking Corporation Ltd,Kw13,2
2022,Oversea-Chinese Banking Corporation Ltd,Kw1,1
2022,Oversea-Chinese Banking Corporation Ltd,Kw2,0
2022,Oversea-Chinese Banking Corporation Ltd,Kw3,1
2022,Oversea-Chinese Banking Corporation Ltd,Kw4,0
2022,Oversea-Chinese Banking Corporation Ltd,Kw5,1
2022,Oversea-Chinese Banking Corporation Ltd,Kw6,130
2022,Oversea-Chinese Banking Corporation Ltd,Kw7,0
2022,Oversea-Chinese Banking Corporation Ltd,Kw8,0
2022,Oversea-Chinese Banking Corporation Ltd,Kw9,5
2022,Oversea-Chinese Banking Corporation Ltd,Kw10,0
2022,Oversea-Chinese Banking Corporation Ltd,Kw11,0
2022,Oversea-Chinese Banking Corporation Ltd,Kw12,0
2022,Oversea-Chinese Banking Corporation Ltd,Kw13,4
2021,Oversea-Chinese Banking Corporation Ltd,Kw1,3
2021,Oversea-Chinese Banking Corporation Ltd,Kw2,1
2021,Oversea-Chinese Banking Corporation Ltd,Kw3,13
2021,Oversea-Chinese Banking Corporation Ltd,Kw4,0
2021,Oversea-Chinese Banking Corporation Ltd,Kw5,5
2021,Oversea-Chinese Banking Corporation Ltd,Kw6,139
2021,Oversea-Chinese Banking Corporation Ltd,Kw7,0
2021,Oversea-Chinese Banking Corporation Ltd,Kw8,0
2021,Oversea-Chinese Banking Corporation Ltd,Kw9,9
2021,Oversea-Chinese Banking Corporation Ltd,Kw10,0
2021,Oversea-Chinese Banking Corporation Ltd,Kw11,0
2021,Oversea-Chinese Banking Corporation Ltd,Kw12,3
2021,Oversea-Chinese Banking Corporation Ltd,Kw13,4
2020,Oversea-Chinese Banking Corporation Ltd,Kw1,9
2020,Oversea-Chinese Banking Corporation Ltd,Kw2,4
2020,Oversea-Chinese Banking Corporation Ltd,Kw3,0
2020,Oversea-Chinese Banking Corporation Ltd,Kw4,2
2020,Oversea-Chinese Banking Corporation Ltd,Kw5,0
2020,Oversea-Chinese Banking Corporation Ltd,Kw6,131
2020,Oversea-Chinese Banking Corporation Ltd,Kw7,3
2020,Oversea-Chinese Banking Corporation Ltd,Kw8,0
2020,Oversea-Chinese Banking Corporation Ltd,Kw9,10
2020,Oversea-Chinese Banking Corporation Ltd,Kw10,1
2020,Oversea-Chinese Banking Corporation Ltd,Kw11,0
2020,Oversea-Chinese Banking Corporation Ltd,Kw12,13
2020,Oversea-Chinese Banking Corporation Ltd,Kw13,5
2019,Oversea-Chinese Banking Corporation Ltd,Kw1,10
2019,Oversea-Chinese Banking Corporation Ltd,Kw2,3
2019,Oversea-Chinese Banking Corporation Ltd,Kw3,0
2019,Oversea-Chinese Banking Corporation Ltd,Kw4,1
2019,Oversea-Chinese Banking Corporation Ltd,Kw5,2
2019,Oversea-Chinese Banking Corporation Ltd,Kw6,93
2019,Oversea-Chinese Banking Corporation Ltd,Kw7,3
2019,Oversea-Chinese Banking Corporation Ltd,Kw8,0
2019,Oversea-Chinese Banking Corporation Ltd,Kw9,2
2019,Oversea-Chinese Banking Corporation Ltd,Kw10,1
2019,Oversea-Chinese Banking Corporation Ltd,Kw11,0
2019,Oversea-Chinese Banking Corporation Ltd,Kw12,3
2019,Oversea-Chinese Banking Corporation Ltd,Kw13,3
2018,Oversea-Chinese Banking Corporation Ltd,Kw1,31
2018,Oversea-Chinese Banking Corporation Ltd,Kw2,2
2018,Oversea-Chinese Banking Corporation Ltd,Kw3,0
2018,Oversea-Chinese Banking Corporation Ltd,Kw4,4
2018,Oversea-Chinese Banking Corporation Ltd,Kw5,0
2018,Oversea-Chinese Banking Corporation Ltd,Kw6,110
2018,Oversea-Chinese Banking Corporation Ltd,Kw7,0
2018,Oversea-Chinese Banking Corporation Ltd,Kw8,0
2018,Oversea-Chinese Banking Corporation Ltd,Kw9,14
2018,Oversea-Chinese Banking Corporation Ltd,Kw10,0
2018,Oversea-Chinese Banking Corporation Ltd,Kw11,0
2018,Oversea-Chinese Banking Corporation Ltd,Kw12,1
2018,Oversea-Chinese Banking Corporation Ltd,Kw13,4
2017,Oversea-Chinese Banking Corporation Ltd,Kw1,20
2017,Oversea-Chinese Banking Corporation Ltd,Kw2,0
2017,Oversea-Chinese Banking Corporation Ltd,Kw3,0
2017,Oversea-Chinese Banking Corporation Ltd,Kw4,1
2017,Oversea-Chinese Banking Corporation Ltd,Kw5,0
2017,Oversea-Chinese Banking Corporation Ltd,Kw6,82
2017,Oversea-Chinese Banking Corporation Ltd,Kw7,1
2017,Oversea-Chinese Banking Corporation Ltd,Kw8,0
2017,Oversea-Chinese Banking Corporation Ltd,Kw9,9
2017,Oversea-Chinese Banking Corporation Ltd,Kw10,0
2017,Oversea-Chinese Banking Corporation Ltd,Kw11,2
2017,Oversea-Chinese Banking Corporation Ltd,Kw12,0
2017,Oversea-Chinese Banking Corporation Ltd,Kw13,5
2016,Oversea-Chinese Banking Corporation Ltd,Kw1,17
2016,Oversea-Chinese Banking Corporation Ltd,Kw2,1
2016,Oversea-Chinese Banking Corporation Ltd,Kw3,4
2016,Oversea-Chinese Banking Corporation Ltd,Kw4,0
2016,Oversea-Chinese Banking Corporation Ltd,Kw5,0
2016,Oversea-Chinese Banking Corporation Ltd,Kw6,66
2016,Oversea-Chinese Banking Corporation Ltd,Kw7,0
