Year,Bank,KeywordIndex,TotalResults
2025,United Overseas Bank Ltd,Kw1,54
2025,United Overseas Bank Ltd,Kw2,10
2025,United Overseas Bank Ltd,Kw3,34
2025,United Overseas Bank Ltd,Kw4,4
2025,United Overseas Bank Ltd,Kw5,8
2025,United Overseas Bank Ltd,Kw6,18
2025,United Overseas Bank Ltd,Kw7,4
2025,United Overseas Bank Ltd,Kw8,4
2025,United Overseas Bank Ltd,Kw9,45
2025,United Overseas Bank Ltd,Kw10,0
2025,United Overseas Bank Ltd,Kw11,6
2025,United Overseas Bank Ltd,Kw12,13
2025,United Overseas Bank Ltd,Kw13,2
2024,United Overseas Bank Ltd,Kw1,9
2024,United Overseas Bank Ltd,Kw2,5
2024,United Overseas Bank Ltd,Kw3,10
2024,United Overseas Bank Ltd,Kw4,1
2024,United Overseas Bank Ltd,Kw5,6
2024,United Overseas Bank Ltd,Kw6,5
2024,United Overseas Bank Ltd,Kw7,4
2024,United Overseas Bank Ltd,Kw8,0
2024,United Overseas Bank Ltd,Kw9,25
2024,United Overseas Bank Ltd,Kw10,1
2024,United Overseas Bank Ltd,Kw11,0
2024,United Overseas Bank Ltd,Kw12,6
2024,United Overseas Bank Ltd,Kw13,3
2023,United Overseas Bank Ltd,Kw1,21
2023,United Overseas Bank Ltd,Kw2,3
2023,United Overseas Bank Ltd,Kw3,8
2023,United Overseas Bank Ltd,Kw4,5
2023,United Overseas Bank Ltd,Kw5,8
2023,United Overseas Bank Ltd,Kw6,17
2023,United Overseas Bank Ltd,Kw7,4
2023,United Overseas Bank Ltd,Kw8,1
2023,United Overseas Bank Ltd,Kw9,17
2023,United Overseas Bank Ltd,Kw10,1
2023,United Overseas Bank Ltd,Kw11,0
2023,United Overseas Bank Ltd,Kw12,6
2023,United Overseas Bank Ltd,Kw13,4
2022,United Overseas Bank Ltd,Kw1,21
2022,United Overseas Bank Ltd,Kw2,3
2022,United Overseas Bank Ltd,Kw3,8
2022,United Overseas Bank Ltd,Kw4,1
2022,United Overseas Bank Ltd,Kw5,18
2022,United Overseas Bank Ltd,Kw6,13
2022,United Overseas Bank Ltd,Kw7,4
2022,United Overseas Bank Ltd,Kw8,0
2022,United Overseas Bank Ltd,Kw9,10
2022,United Overseas Bank Ltd,Kw10,4
2022,United Overseas Bank Ltd,Kw11,0
2022,United Overseas Bank Ltd,Kw12,7
2022,United Overseas Bank Ltd,Kw13,2
2021,United Overseas Bank Ltd,Kw1,22
