KeywordIndex,Keyword
Kw1,FinTech
Kw1,E-finance
Kw1,Online finance
Kw1,Quantitative Finance
Kw1,Internet Finance
Kw2,Digital payments
Kw2,Digital wallet
Kw2,Online payments
Kw2,Money transactions
Kw2,Payment gateway
Kw2,Clearing payment
Kw2,E-payment
Kw2,Mobile payment
Kw2,Third-party payment
Kw2,NFC payments
Kw3,Blockchain
Kw3,Alliance chain
Kw3,Decentralization
Kw3,Distributed computing
Kw3,Digital currency
Kw3,Decentralized finance
Kw3,Nonfungible tokens
Kw3,Smart Financial Contracts
Kw4,Big Data
Kw4,Mixed reality
Kw4,Text mining
Kw4,Data visualization
Kw4,Virtual reality
Kw4,Billion concurrency
Kw4,Heterogeneous data
Kw4,Augmented reality
Kw4,E-collection
Kw4,Credit investigation
Kw4,Electronic credit
Kw4,Intelligent Data Analytics
Kw4,Semantic Search
Kw5,Digital data
Kw5,Token
Kw5,Distributed Ledger
Kw5,Virtual currency
Kw6,Bitcoin
Kw6,Cryptocurrency
Kw6,Ether
Kw6,Mining
Kw6,Stablecoin
Kw7,Cloud computing
Kw7,EB-level storage
Kw7,Multiparty secure computing
Kw7,Consensus mechanisms
Kw7,Stream computing
Kw7,Green computing
Kw7,In-memory computing
Kw7,Converged architectures
Kw7,Data mining
Kw7,Graph computing
Kw7,Internet of Things
Kw7,Information physical systems
Kw7,Brain-like computing
Kw7,Cognitive computing
Kw7,Secure Multiparty Computing
Kw8,Crowdfunding
Kw8,Investment-based crowdfunding
Kw8,Lending-based crowdfunding
Kw8,Equity Crowdfunding
Kw9,Machine learning
Kw9,Supervised learning
Kw9,Unsupervised learning
Kw9,Semisupervised learning
Kw9,Reinforcement learning
Kw9,Artificial intelligence
Kw9,Intelligent robots
Kw9,Face recognition
Kw9,Credit score prediction
Kw9,AI-ML
Kw9,Machine Learning-Driven Credit Ratings
Kw9,Deep Learning
Kw9,Natural Language Processing
Kw9,Image Understanding
Kw9,Voice Recognition
Kw9,Intelligent Customer Service
Kw10,Peer-to-peer lending
Kw10,Digital lending
Kw10,P2P lending
Kw10,P2P platform
Kw10,Social lending
Kw10,Online lending
Kw11,Robo Advisor
Kw11,human4robo advisor
Kw11,Robo4human advisor
Kw11,Rrobo4strategy advisor
Kw11,Online advisor
Kw11,Chatbots
Kw11,Smart investment
Kw11,Online investment
Kw11,Investment Decision Aid System
Kw11,Strategic decision support (SDS)
Kw12,E-Banking
Kw12,Online banking
Kw12,Open Bank
Kw12,Information transmission
Kw13,Risk Management & Security
Kw13,Credit information system
Kw13,Online insurance
Kw13,Identity verification
Kw13,Biometrics
Kw13,Differential Privacy Technologies
Kw13,Creditworthiness
